n,date,title,author,url
13,2005-01-23,Like New! (With a Few Broken Parts),Irene Sherlock,https://www.nytimes.com/2005/01/23/fashion/like-new-with-a-few-broken-parts.html
14,2005-01-30,His Genes Hold Gifts. Mine Carry Risk.,Bonnie J. Rough,https://www.nytimes.com/2005/01/30/fashion/his-genes-hold-gifts-mine-carry-risk.html
15,2005-02-06,"The Patriots Made a Man of Me, in a Manner of Speaking",Brendan Tapley,https://www.nytimes.com/2005/02/06/fashion/the-patriots-made-a-man-of-me-in-a-manner-of-speaking.html
16,2005-02-13,"Back From the Front, With Honor, a Warrior's Truth",Helen Gerhardt,https://www.nytimes.com/2005/02/13/fashion/back-from-the-front-with-honor-a-warriors-truth.html
17,2005-02-20,His Art Is His Joy. It Just Didn't Fit My Plan.,Cathy Lickteig Makofski,https://www.nytimes.com/2005/02/20/fashion/his-art-is-his-joy-it-just-didnt-fit-my-plan.html
18,2005-02-27,When Mr. Reliable Becomes Mr. Needy,Katherine Tanney,https://www.nytimes.com/2005/02/27/fashion/when-mr-reliable-becomes-mr-needy.html
19,2005-03-06,I Gave Him Up at 16. Could We Try Again?,Meredith Hall,https://www.nytimes.com/2005/03/06/fashion/i-gave-him-up-at-16-could-we-try-again.html
20,2005-03-13,Sleeping With the Guitar Player,Jean Hanff Korelitz,https://www.nytimes.com/2005/03/13/fashion/sleeping-with-the-guitar-player.html
21,2005-03-20,"Two Men, Baby on the Way and Me",Rebecca Eckler,https://www.nytimes.com/2005/03/20/fashion/two-men-baby-on-the-way-and-me.html
22,2005-03-27,"Truly, Madly, Guiltily",Ayelet Waldman,https://www.nytimes.com/2005/03/27/fashion/truly-madly-guiltily.html
23,2005-04-03,How Could I Tell Him What I Knew? How Could I Not?,Sara Pepitone,https://www.nytimes.com/2005/04/03/fashion/how-could-i-tell-him-what-i-knew-how-could-i-not.html
24,2005-04-10,Looking for Love at the Sperm Bank,Linda Dackman,https://www.nytimes.com/2005/04/10/fashion/looking-for-love-at-the-sperm-bank.html
25,2005-04-17,Me? I'm Just Fine (Whimper). Really (Sob).,,https://www.nytimes.com/2005/04/17/fashion/sundaystyles/me-im-just-fine-whimper-really-sob.html
26,2005-04-24,Elvis and My Husband Have Left the Building,,https://www.nytimes.com/2005/04/24/fashion/sundaystyles/elvis-and-my-husband-have-left-the-building.html
27,2005-05-01,"Looking at My Father, Inside and Out",Kerry Reilly,https://www.nytimes.com/2005/05/01/fashion/looking-at-my-father-inside-and-out.html
28,2005-05-08,Losing Custody of My Hope,,https://www.nytimes.com/2005/05/08/fashion/sundaystyles/losing-custody-of-my-hope.html
29,2005-05-15,Bucking Wedding Conventions ... Except for One,,https://www.nytimes.com/2005/05/15/fashion/sundaystyles/bucking-wedding-conventions-except-for-one.html
30,2005-05-22,Cubicle Cupid: Nothing Personal,,https://www.nytimes.com/2005/05/22/fashion/sundaystyles/cubicle-cupid-nothing-personal.html
31,2005-05-29,"A Prince Charming for the Prom (Not Ever After, Though)",,https://www.nytimes.com/2005/05/29/fashion/sundaystyles/a-prince-charming-for-the-prom-not-ever-after-though.html
32,2005-06-05,A Bad Case of Puppy Love,,https://www.nytimes.com/2005/06/05/fashion/sundaystyles/a-bad-case-of-puppy-love.html
33,2005-06-12,"Beyond Divorce and Even Death, a Promise Kept",,https://www.nytimes.com/2005/06/12/fashion/sundaystyles/beyond-divorce-and-even-death-a-promise-kept.html
34,2005-06-19,"Who's That Lady in the Bedroom, Daddy?",,https://www.nytimes.com/2005/06/19/fashion/sundaystyles/whos-that-lady-in-the-bedroom-daddy.html
35,2005-06-26,"Misery Loves Fried Chicken, Too",,https://www.nytimes.com/2005/06/26/fashion/weddings/misery-loves-fried-chicken-too.html
36,2005-07-03,A Leap of Faith,,https://www.nytimes.com/2005/07/03/fashion/sundaystyles/a-leap-of-faith.html
37,2005-07-10,Froky Doesn't Play Around Here Anymore,,https://www.nytimes.com/2005/07/10/fashion/sundaystyles/froky-doesnt-play-around-here-anymore.html
38,2005-07-17,The New Nanny Diaries Are Online,,https://www.nytimes.com/2005/07/17/fashion/sundaystyles/the-new-nanny-diaries-are-online.html
39,2005-07-24,R We D8ting?,,https://www.nytimes.com/2005/07/24/fashion/sundaystyles/r-we-d8ting.html
40,2005-07-31,Out From Under the Influence,,https://www.nytimes.com/2005/07/31/fashion/sundaystyles/out-from-under-the-influence.html
41,2005-08-07,"Here's Looking at You, Kid",,https://www.nytimes.com/2005/08/07/fashion/sundaystyles/heres-looking-at-you-kid.html
42,2005-08-14,A Go-Between Gets Going,,https://www.nytimes.com/2005/08/14/fashion/sundaystyles/a-gobetween-gets-going.html
43,2005-08-21,Stand by Your (Marlboro) Man,,https://www.nytimes.com/2005/08/21/fashion/sundaystyles/stand-by-your-marlboro-man.html
44,2005-08-28,Riding Shotgun and Living Life,,https://www.nytimes.com/2005/08/28/fashion/sundaystyles/riding-shotgun-and-living-life.html
45,2005-09-04,Three Men and a Woman,,https://www.nytimes.com/2005/09/04/fashion/sundaystyles/three-men-and-a-woman.html
46,2005-09-11,DJ's Homeless Mommy,,https://www.nytimes.com/2005/09/11/fashion/sundaystyles/djs-homeless-mommy.html
47,2005-09-11,DJ’s Homeless Mommy,Dan Savage,https://www.nytimes.com/2005/09/11/style/modern-love-djs-homeless-mommy.html
48,2005-09-18,My Dinners With Andrew,,https://www.nytimes.com/2005/09/18/fashion/sundaystyles/my-dinners-with-andrew.html
49,2005-09-25,Something Like Motherhood,,https://www.nytimes.com/2005/09/25/fashion/sundaystyles/something-like-motherhood.html
50,2005-10-02,"Researching Jenna, Discovering Myself",,https://www.nytimes.com/2005/10/02/fashion/sundaystyles/researching-jenna-discovering-myself.html
51,2005-10-09,"So Handsome, So Clever, So Gone",,https://www.nytimes.com/2005/10/09/fashion/sundaystyles/so-handsome-so-clever-so-gone.html
52,2005-10-16,"Adolescence, Without a Roadmap",,https://www.nytimes.com/2005/10/16/fashion/sundaystyles/adolescence-without-a-roadmap.html
53,2005-10-23,The Third Half of a Couple,,https://www.nytimes.com/2005/10/23/fashion/sundaystyles/the-third-half-of-a-couple.html
54,2005-10-30,"Love Me, Love My Dog. All Right, Love My Dog.",,https://www.nytimes.com/2005/10/30/fashion/sundaystyles/love-me-love-my-dog-all-right-love-my-dog.html
55,2005-11-06,"A Reincarnation, and Just When I Didn't Need One",,https://www.nytimes.com/2005/11/06/fashion/sundaystyles/a-reincarnation-and-just-when-i-didnt-need-one.html
56,2005-11-13,"I Seemed Plucky and Game, Even to Myself",,https://www.nytimes.com/2005/11/13/fashion/sundaystyles/i-seemed-plucky-and-game-even-to-myself.html
57,2005-11-20,Sending a Lost Boy to the Wilderness to Find Himself,,https://www.nytimes.com/2005/11/20/fashion/sundaystyles/sending-a-lost-boy-to-the-wilderness-to-find-himself.html
58,2005-11-27,Point 1: We Had Fun. Point 2: It's Over. Point 3: Get Lost.,,https://www.nytimes.com/2005/11/27/fashion/sundaystyles/point-1-we-had-fun-point-2-its-over-point-3-get-lost.html
59,2005-12-04,Mother Must Muzzle the Nuzzle,,https://www.nytimes.com/2005/12/04/fashion/sundaystyles/mother-must-muzzle-the-nuzzle.html
60,2005-12-11,A Surrogate Dries Her Tears,,https://www.nytimes.com/2005/12/11/fashion/sundaystyles/a-surrogate-dries-her-tears.html
61,2005-12-18,"Online Images Open a Heart, Then a Home",,https://www.nytimes.com/2005/12/18/fashion/sundaystyles/online-images-open-a-heart-then-a-home.html
62,2005-12-25,Father and Daughter: One Final Connection,,https://www.nytimes.com/2005/12/25/fashion/sundaystyles/father-and-daughter-one-final-connection.html
63,2006-01-01,Paradise Lost (Domestic Division),,https://www.nytimes.com/2006/01/01/fashion/sundaystyles/paradise-lost-domestic-division.html
64,2006-01-08,"A Passion for the Movies? Yes, Yes ... Yes!",,https://www.nytimes.com/2006/01/08/fashion/sundaystyles/a-passion-for-the-movies-yes-yes-yes.html
65,2006-01-15,A Devotion That Eclipsed the Family,,https://www.nytimes.com/2006/01/15/fashion/sundaystyles/a-devotion-that-eclipsed-the-family.html
66,2006-01-22,"So He Looked Like Dad. It Was Just Dinner, Right?",,https://www.nytimes.com/2006/01/22/fashion/sundaystyles/so-he-looked-like-dad-it-was-just-dinner-right.html
67,2006-01-29,Two Decembers: Loss and Redemption,,https://www.nytimes.com/2006/01/29/fashion/sundaystyles/29LOVE.html
68,2006-02-05,"Mélange à Trois: Me, Him ... and the Stuff",,https://www.nytimes.com/2006/02/05/fashion/sundaystyles/melange-a-trois-me-him-and-the-stuff.html
69,2006-02-12,"You're Not Sick, You're Just in Love",,https://www.nytimes.com/2006/02/12/fashion/sundaystyles/youre-not-sick-youre-just-in-love.html
70,2006-02-19,"Loved and Lost? It’s O.K., Especially if You Win",Veronica Chambers,https://www.nytimes.com/2006/02/19/fashion/loved-and-lost-its-ok-especially-if-you-win.html
71,2006-02-26,Now I Need a Place to Hide Away,,https://www.nytimes.com/2006/02/26/fashion/sundaystyles/26LOVE.html
72,2006-03-05,A Girl Could Get Cornered in a Tiny House,,https://www.nytimes.com/2006/03/05/fashion/sundaystyles/a-girl-could-get-cornered-in-a-tiny-house.html
73,2006-03-12,"Figure It Out? Figure It Out? O.K., You Figure It Out!",,http://www.nytimes.com/2006/03/12/fashion/sundaystyles/12love.html
74,2006-03-19,I Need to Woman Up and Do This on My Own,,https://www.nytimes.com/2006/03/19/fashion/sundaystyles/i-need-to-woman-up-and-do-this-on-my-own.html
75,2006-03-26,The Day the House Blew Up,,https://www.nytimes.com/2006/03/26/fashion/sundaystyles/the-day-the-house-blew-up.html
76,2006-04-02,Rancho Paradise Lost,,https://www.nytimes.com/2006/04/02/fashion/sundaystyles/rancho-paradise-lost.html
77,2006-04-09,"I Was Between Husbands, He Was Between Cupcakes",,https://www.nytimes.com/2006/04/09/fashion/sundaystyles/modern-love-i-was-between-husbands-he-was-between.html
78,2006-04-16,This Is Where the Dog Comes In,,https://www.nytimes.com/2006/04/16/fashion/sundaystyles/this-is-where-the-dog-comes-in.html
79,2006-04-23,A Reality Show for Couples Therapy? Sign Us Up,,https://www.nytimes.com/2006/04/23/fashion/sundaystyles/a-reality-show-for-couples-therapy-sign-us-up.html
80,2006-04-30,Now for a Quick Lesson in International Relations,,https://www.nytimes.com/2006/04/30/fashion/sundaystyles/now-for-a-quick-lesson-in-international-relations.html
81,2006-05-07,Losing My Way Has Been a Way of Life for Me,,https://www.nytimes.com/2006/05/07/fashion/sundaystyles/losing-my-way-has-been-a-way-of-life-for-me.html
82,2006-05-14,"A Winter of Discontent, Then Along Comes Baby",,https://www.nytimes.com/2006/05/14/fashion/sundaystyles/a-winter-of-discontent-then-along-comes-baby.html
83,2006-05-21,"Changing My Feminist Mind, One Man at a Time",,https://www.nytimes.com/2006/05/21/fashion/sundaystyles/changing-my-feminist-mind-one-man-at-a-time.html
84,2006-05-28,"Mom, Dad, Let Me Find My Own Husband",,https://www.nytimes.com/2006/05/28/fashion/sundaystyles/mom-dad-let-me-find-my-own-husband.html
85,2006-06-04,"When You Wish Upon a Saint, Watch What You Ask For",Linda Dackman,https://www.nytimes.com/2006/06/04/fashion/when-you-wish-upon-a-saint-watch-what-you-ask-for.html
86,2006-06-11,Strung Out on Love and Checked In for Treatment,,https://www.nytimes.com/2006/06/11/fashion/sundaystyles/strung-out-on-love-and-checked-in-for-treatment.html
87,2006-06-18,Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,,https://www.nytimes.com/2006/06/18/fashion/sundaystyles/diary-of-a-soldiers-wife-tiedye-and-camo-dont-mix.html
88,2006-06-25,What Shamu Taught Me About a Happy Marriage,Amy Sutherland,https://www.nytimes.com/2006/06/25/style/modern-love-what-shamu-taught-me-about-a-happy-marriage.html
89,2006-06-25,What Shamu Taught Me About a Happy Marriage,Amy Sutherland,https://www.nytimes.com/2006/06/25/fashion/what-shamu-taught-me-about-a-happy-marriage.html
90,2006-07-02,Seeing the World Through my Wife's Eyes,Ryan Knighton,https://www.nytimes.com/2006/07/02/fashion/seeing-the-world-through-my-wifes-eyes.html
91,2006-07-09,Someone to Watch Over Me (on a Google Map),,https://www.nytimes.com/2006/07/09/fashion/sundaystyles/someone-to-watch-over-me-on-a-google-map.html
92,2006-07-16,"Married, but Certainly Not to Tradition",,https://www.nytimes.com/2006/07/16/fashion/sundaystyles/married-but-certainly-not-to-tradition.html
93,2006-07-23,The Semicolon Was Our Blinking Caution Light,,https://www.nytimes.com/2006/07/23/fashion/sundaystyles/the-semicolon-was-our-blinking-caution-light.html
94,2006-07-30,"I Dulled Her Pain, and My Judgment",A. J. Yim,https://www.nytimes.com/2006/07/30/fashion/i-dulled-her-pain-and-my-judgment.html
95,2006-08-06,My Husband Survived; the Man I Married Didnt,Abigail Thomas,https://www.nytimes.com/2006/08/06/fashion/my-husband-survived-the-man-i-married-didnt.html
96,2006-08-13,Mortality Can Be a Powerful Aphrodisiac,Jennifer Glaser,https://www.nytimes.com/2006/08/13/fashion/mortality-can-be-a-powerful-aphrodisiac.html
97,2006-08-20,"Fatherhood, I Now Learn, Is a Young Man’s Game",Rand Richards Cooper,https://www.nytimes.com/2006/08/20/fashion/fatherhood-i-now-learn-is-a-young-mans-game.html
98,2006-08-27,Dust to Dust: An Affair Post 9/11,Nikki Stern,https://www.nytimes.com/2006/08/27/fashion/dust-to-dust-an-affair-post-911.html
99,2006-09-03,"Race Wasn’t an Issue to Him, Which Was an Issue to Me",Kim McLarin,https://www.nytimes.com/2006/09/03/fashion/race-wasnt-an-issue-to-him-which-was-an-issue-to-me.html
100,2006-09-10,"When the Thunder Rolls in, My Lie Rolls Out",Amy O'Leary,https://www.nytimes.com/2006/09/10/fashion/when-the-thunder-rolls-in-my-lie-rolls-out.html
101,2006-09-17,We Ate and Drank While the Warning Lights Flashed,Michelle Wildgen,https://www.nytimes.com/2006/09/17/fashion/we-ate-and-drank-while-the-warning-lights-flashed.html
102,2006-09-24,Our Affair Was One Long Lesson in How to Break Up,Suki Kim,https://www.nytimes.com/2006/09/24/fashion/our-affair-was-one-long-lesson-in-how-to-break-up.html
103,2006-10-01,Men Don’t Care About Weddings? Groomzilla Is Hurt,Craig Bridger,https://www.nytimes.com/2006/10/01/fashion/men-dont-care-about-weddings-groomzilla-is-hurt.html
104,2006-10-08,Will That Child Step Off the Screen and Into Our Lives?,Lynne Nugent,https://www.nytimes.com/2006/10/08/fashion/will-that-child-step-off-the-screen-and-into-our-lives.html
105,2006-10-15,"Nursing My Daughter, and Some Grievances",Lindsay Sterling,https://www.nytimes.com/2006/10/15/fashion/nursing-my-daughter-and-some-grievances.html
106,2006-10-22,When a Relationship Carries the Weight of History,Lauren Fox,https://www.nytimes.com/2006/10/22/fashion/when-a-relationship-carries-the-weight-of-history.html
107,2006-10-29,"We Lived in the Present, Then the Future Arrived",Francine Maroukian,https://www.nytimes.com/2006/10/29/fashion/29love.html
108,2006-11-05,"It Took a War, but I Finally Moved in With My Husband",A. Z. Cohn,https://www.nytimes.com/2006/11/05/fashion/it-took-a-war-but-i-finally-moved-in-with-my-husband.html
109,2006-11-12,"Beneath the Modest Alter Ego, I See My Superhero",Angela Balcita,https://www.nytimes.com/2006/11/12/fashion/12love.html
110,2006-11-19,Fatherly Memories Scattered to the Wind,Victoria Loustalot,https://www.nytimes.com/2006/11/19/fashion/fatherly-memories-scattered-to-the-wind.html
111,2006-11-26,In the Grip of Nature’s Own Form of Birth Control,Wendy Paris,https://www.nytimes.com/2006/11/26/fashion/in-the-grip-of-natures-own-form-of-birth-control.html
112,2006-12-03,I Couldn’t Let Go of Him. Did It Make Me a Stalker?,Lisa A. Phillips,https://www.nytimes.com/2006/12/03/fashion/i-couldnt-let-go-of-him-did-it-make-me-a-stalker.html
113,2006-12-10,A Housecleaning That Swept Out the Ashes of My Marriage,Dena Crosson,https://www.nytimes.com/2006/12/10/fashion/a-housecleaning-that-swept-out-the-ashes-of-my-marriage.html
114,2006-12-17,Live Without Me. I’ll Understand.,Katherine Friedman,https://www.nytimes.com/2006/12/17/fashion/live-without-me-ill-understand.html
115,2006-12-24,"Close Enough for Momma, Too Close for Me",Peter Napolitano,https://www.nytimes.com/2006/12/24/fashion/close-enough-for-momma-too-close-for-me.html
116,2007-01-07,Our Story Ended With a Slow Fade to Black,Patty Dann,https://www.nytimes.com/2007/01/07/fashion/07love.html
117,2007-01-14,I Fell for a Man Who Wore an Electronic Ankle Bracelet,Ashley Cross,https://www.nytimes.com/2007/01/14/fashion/14love.html
118,2007-01-21,Who Is This Child? And What Will He Be Next?,Suzanne Paola,https://www.nytimes.com/2007/01/21/fashion/21love.html
119,2007-01-28,"I Saw a Playhouse, My Daughter Saw a Jail",Ronald Berger,https://www.nytimes.com/2007/01/28/fashion/28love.html
120,2007-02-04,She Handed Me a Cup From the Fountain of Youth,Andy Christie,https://www.nytimes.com/2007/02/04/fashion/04love.html
121,2007-02-11,"Dear Editor, the Secret of Love Is ...",Daniel Jones,https://www.nytimes.com/2007/02/11/fashion/11love.html
122,2007-02-18,"‘La Bohème’ Is Romantic, as Long as I’m Not the Star",Carol Pinchefsky,https://www.nytimes.com/2007/02/18/fashion/18love.html
123,2007-02-25,"The Hunter-Gatherer, Parking Division",Andy Raskin,https://www.nytimes.com/2007/02/25/fashion/25love.html
124,2007-03-04,"My Triplets Were Inseparable, Whatever the Risks",Susanne M. Sanchez,https://www.nytimes.com/2007/03/04/fashion/04love.html
125,2007-03-11,"Dreaming of a Life of Privilege, but First...",Anya Ulinich,https://www.nytimes.com/2007/03/11/fashion/11love.html
126,2007-03-18,"My Parents Couldn’t Outlive, or Outrun, Each Other",Lucy Ferriss,https://www.nytimes.com/2007/03/18/fashion/18love.html
127,2007-03-25,"If We Met in a Former Life, Maybe He Was Straight Then",Anna David,https://www.nytimes.com/2007/03/25/fashion/25love.html
128,2007-04-01,Never Tell Our Business to Strangers,Jennifer Mascia,https://www.nytimes.com/2007/04/01/fashion/01love.html
129,2007-04-08,A Father on Poster Board Just Won’t Do,Alison Buckholtz,https://www.nytimes.com/2007/04/08/fashion/08love.html
130,2007-04-15,"La Vie en Rose, the Takeout Version",Deborah Copaken Kogan,https://www.nytimes.com/2007/04/15/fashion/15love.html
131,2007-04-22,An Adopted Child Is a Riddle. Now I Have a Clue.,Nona Martin Stuck,https://www.nytimes.com/2007/04/22/fashion/22love.html
132,2007-04-29,How My Plumber Turned Water Into Wine,Alice Feiring,https://www.nytimes.com/2007/04/29/fashion/29love.html
133,2007-05-06,An Ancient Coda to My 21st-Century Divorce,Cindy Chupack,https://www.nytimes.com/2007/05/06/fashion/06love.html
134,2007-05-13,My First Lesson in Motherhood,Elizabeth Fitzsimons,https://www.nytimes.com/2007/05/13/fashion/13love.html
135,2007-05-20,Mr. What-If Is Circling Around My Marriage,Kevin Mims,https://www.nytimes.com/2007/05/20/fashion/20love.html
136,2007-05-27,"In the Dressing Room, Relationships Laid Bare",Jerome E. Copulsky,https://www.nytimes.com/2007/05/27/fashion/27love.html
137,2007-06-03,"When China Reopened, I Rushed in Too Fast",Gretchen Dykstra,https://www.nytimes.com/2007/06/03/fashion/03love.html
138,2007-06-10,My Husband May Out-Mom Me,Amy Sohn,https://www.nytimes.com/2007/06/10/fashion/10love.html
139,2007-06-17,"Ah, to Be Old, Male and Single",Amy Cohen,https://www.nytimes.com/2007/06/17/fashion/17love.html
140,2007-06-24,My Virginity Went From Choice to Burden,Kate McGovern,https://www.nytimes.com/2007/06/24/fashion/24love.html
141,2007-07-01,Whereas You Were an Insensitive Fool ...,Lisa K. Friedman,https://www.nytimes.com/2007/07/01/fashion/01love.html
142,2007-07-08,"He Forgot to Call? Oh, No Big Deal.",Sari Botton,https://www.nytimes.com/2007/07/08/fashion/08love.html
143,2007-07-15,Would Our Two New Lives Include a Third?,Ronda Kaysen,https://www.nytimes.com/2007/07/15/fashion/15love.html
144,2007-07-22,The House of No Personal Pronouns,Ada Brunstein,https://www.nytimes.com/2007/07/22/fashion/22love.html
145,2007-07-29,"I Made Him What He Is, but Who Is He?",Thomas Anthony Donahoe,https://www.nytimes.com/2007/07/29/fashion/29love.html
146,2007-08-05,A Friendship Too Tight for Breathing Room,Jessie Sholl,https://www.nytimes.com/2007/08/05/fashion/05love.html
147,2007-08-12,"As Survivors, We Were Closer Than Lovers",Curtis Pesmen,https://www.nytimes.com/2007/08/12/fashion/12love.html
148,2007-08-26,"The Rubble of My Marriage, Hidden by Katrina’s",Ellen Ann Fentress,https://www.nytimes.com/2007/08/26/fashion/26love.html
149,2007-09-02,The People on the Bus Say ‘Shame on You’,Hana Schank,https://www.nytimes.com/2007/09/02/fashion/02love.html
150,2007-09-09,"Passage to India, by Way of an Elevator",Katherine Russell Rich,https://www.nytimes.com/2007/09/09/fashion/09love.html
151,2007-09-16,How I Turned Into a Stepmonster,Maria Dahvana Headley,https://www.nytimes.com/2007/09/16/fashion/16love.html
152,2007-09-23,A Painful Reminder of My Ex,Jennifer Cacicio,https://www.nytimes.com/2007/09/23/fashion/23love.html
153,2007-09-30,My Three Years as a Beloved Daughter,Erin Brown,https://www.nytimes.com/2007/09/30/fashion/30love.html
154,2007-10-07,Close Enough to Touch Was Too Far Apart,Saba Ali,https://www.nytimes.com/2007/10/07/fashion/07love.html
155,2007-10-14,Maturity Was Just Too Messy for Me,Peter Levine,https://www.nytimes.com/2007/10/14/fashion/14love.html
156,2007-10-21,Too Bad for Me That She Was So Well Loved,Alexis Wolff,https://www.nytimes.com/2007/10/21/fashion/21love.html
157,2007-10-28,Why We Needed a Prenup With Our Contractor,Deborah Derrickson Kossmann,https://www.nytimes.com/2007/10/28/fashion/28love.html
158,2007-11-04,The Man I Wish Was Your Father,Virginia A. Smith,https://www.nytimes.com/2007/11/04/fashion/04love.html
159,2007-11-11,When One of Me Suddenly Became Three,Lynn Lauber,https://www.nytimes.com/2007/11/11/fashion/11love.html
160,2007-11-18,A Diesel Engine Woke Up Our Marriage,Melanie Gideon,https://www.nytimes.com/2007/11/18/fashion/18love.html
161,2007-11-25,That’s My Pride Beneath the Love Train,Margaret Meehan,https://www.nytimes.com/2007/11/25/fashion/25love.html
162,2007-12-02,My Sorority Pledge? I Swore Off Sisterhood,Kelly Valen,https://www.nytimes.com/2007/12/02/fashion/02love.html
163,2007-12-09,"Divorce and a Haircut, Two Bits",Scott Smallwood,https://www.nytimes.com/2007/12/09/fashion/09love.html
164,2007-12-16,The Holiday of My Dreams Was Just That,Paula McLain,https://www.nytimes.com/2007/12/16/fashion/16love.html
165,2007-12-30,"Our Joy Knows No Bounds, or Lanes",Ellen Graf,https://www.nytimes.com/2007/12/30/fashion/30love.html
166,2008-01-06,The Blank Space in Our Family Album,Catherine Macrae Hockmuth,https://www.nytimes.com/2008/01/06/fashion/06love.html
167,2008-01-13,"Take Me as I Am, Whoever I Am",Terri Cheney,https://www.nytimes.com/2008/01/13/style/modern-love-take-me-as-i-am-whoever-i-am.html
168,2008-01-20,G.P.S. for My Lost Identity,Laura Dave,https://www.nytimes.com/2008/01/20/fashion/20love.html
169,2008-01-27,Closing Night for My Bit Part,Melora Wolff,https://www.nytimes.com/2008/01/27/fashion/27love.html
170,2008-02-03,An Open and Shut Marriage,Colette DeDonato,https://www.nytimes.com/2008/02/03/fashion/03love.html
171,2008-02-10,A Valley of Misery Between Peaks of Joy,Daniel Jones,https://www.nytimes.com/2008/02/10/fashion/10love.html
172,2008-02-17,"I Married a Republican: There, I Said It",Ann Hood,https://www.nytimes.com/2008/02/17/fashion/17love.html
173,2008-02-24,The April Fools’ Joke I Played on Myself,Jay Ruttenberg,https://www.nytimes.com/2008/02/24/fashion/24love.html
174,2008-03-02,"Me, My Daughter and Them",Heidi Wendel,https://www.nytimes.com/2008/03/02/fashion/02love.html
175,2008-03-09,A Signal in the Sky Said: Marry Her,Ben Karlin,https://www.nytimes.com/2008/03/09/fashion/09love.html
176,2008-03-16,The Steep Price of Our Forbidden Kiss,Kayla Rachlin Small,https://www.nytimes.com/2008/03/16/fashion/16love.html
177,2008-03-23,"Mom, It’s Me, Your Son, Finally",Pete MacDonald,https://www.nytimes.com/2008/03/23/fashion/23love.html
178,2008-03-30,How We Got From Grief to Pancakes,Patty Dann,https://www.nytimes.com/2008/03/30/fashion/30love.html
179,2008-04-06,When the Chutney’s Gone,Suzanne Finnamore,https://www.nytimes.com/2008/04/06/fashion/06love.html
180,2008-04-13,"The Plain, Unmarked Box Arrived",Lori Jakiela,https://www.nytimes.com/2008/04/13/fashion/13love.html
181,2008-04-20,"The Joy of Marriage Was Ours, for a While",Torie Osborn,https://www.nytimes.com/2008/04/20/fashion/20love.html
182,2008-04-27,Was I on a Date or Baby-Sitting?,Julie Klausner,https://www.nytimes.com/2008/04/27/fashion/27love.html
183,2008-05-04,Want to Be My Boyfriend? Please Define,Marguerite Fields,https://www.nytimes.com/2008/05/04/fashion/04love.html
184,2008-05-11,A Wedding Invitation for a Mom Long Gone,Julie Buxbaum,https://www.nytimes.com/2008/05/11/fashion/11love.html
185,2008-05-18,May I Have This Dance?,Owen Powell,https://www.nytimes.com/2008/05/18/fashion/18love.html
186,2008-05-25,"Instant Message, Instant Girlfriend",Roger Hobbs,https://www.nytimes.com/2008/05/25/fashion/25love.html
187,2008-06-01,My Dropout Boyfriend Kept Dropping In,Lee Conell,https://www.nytimes.com/2008/06/01/fashion/01love.html
188,2008-06-08,Let’s Not Get to Know Each Other Better,Joel Walkowski,https://www.nytimes.com/2008/06/08/fashion/08love.html
189,2008-06-15,"As a Father, I Was Hardly a Perfect Fit",Tim Elhajj,https://www.nytimes.com/2008/06/15/fashion/15love.html
190,2008-06-22,How My Husband Won Back My Vote,Andrea Neighbours,https://www.nytimes.com/2008/06/22/fashion/22love.html
191,2008-06-29,Rescued by an Israeli Soldier,Glynis Ann Ritchie,https://www.nytimes.com/2008/06/29/fashion/29love.html
